1/10/2014	SG873	07:55	10:45	10
1/10/2014	SG817	10:15 	13:05	10
1/10/2014	SG524	15:45	20:25	10
1/10/2014	SG804	19:45	22:30	10
2/10/2014	SG873	07:55	10:45	10
2/10/2014	SG817	10:15 	13:05	10
2/10/2014	SG524	15:45	20:25	10
2/10/2014	SG804	19:45	22:30	10
3/10/2014	SG873	07:55	10:45	10
3/10/2014	SG817	10:15 	13:05	10
3/10/2014	SG524	15:45	20:25	10
3/10/2014	SG804	19:45	22:30	10
4/10/2014	SG873	07:55	10:45	10
4/10/2014	SG817	10:15 	13:05	10
4/10/2014	SG524	15:45	20:25	10
4/10/2014	SG804	19:45	22:30	10
5/10/2014	SG873	07:55	10:45	10
5/10/2014	SG817	10:15 	13:05	10
5/10/2014	SG524	15:45	20:25	10
5/10/2014	SG804	19:45	22:30	10
6/10/2014	SG873	07:55	10:45	10
6/10/2014	SG817	10:15 	13:05	10
6/10/2014	SG524	15:45	20:25	10
6/10/2014	SG804	19:45	22:30	10
7/10/2014	SG873	07:55	10:45	10
7/10/2014	SG817	10:15 	13:05	10
7/10/2014	SG524	15:45	20:25	10
7/10/2014	SG804	19:45	22:30	10
8/10/2014	SG873	07:55	10:45	10
8/10/2014	SG817	10:15 	13:05	10
8/10/2014	SG524	15:45	20:25	10
8/10/2014	SG804	19:45	22:30	10
9/10/2014	SG873	07:55	10:45	10
9/10/2014	SG817	10:15 	13:05	10
9/10/2014	SG524	15:45	20:25	10
9/10/2014	SG804	19:45	22:30	10
10/10/2014	SG873	07:55	10:45	10
10/10/2014	SG817	10:15 	13:05	10
10/10/2014	SG524	15:45	20:25	10
10/10/2014	SG804	19:45	22:30	10
11/10/2014	SG873	07:55	10:45	10
11/10/2014	SG817	10:15 	13:05	10
11/10/2014	SG524	15:45	20:25	10
11/10/2014	SG804	19:45	22:30	10
12/10/2014	SG873	07:55	10:45	10
12/10/2014	SG817	10:15 	13:05	10
12/10/2014	SG524	15:45	20:25	10
12/10/2014	SG804	19:45	22:30	10
13/10/2014	SG873	07:55	10:45	10
13/10/2014	SG817	10:15 	13:05	10
13/10/2014	SG524	15:45	20:25	10
13/10/2014	SG804	19:45	22:30	10
14/10/2014	SG873	07:55	10:45	10
14/10/2014	SG817	10:15 	13:05	10
14/10/2014	SG524	15:45	20:25	10
14/10/2014	SG804	19:45	22:30	10
15/10/2014	SG873	07:55	10:45	10
15/10/2014	SG817	10:15 	13:05	10
15/10/2014	SG524	15:45	20:25	10
15/10/2014	SG804	19:45	22:30	10
16/10/2014	SG873	07:55	10:45	10
16/10/2014	SG817	10:15 	13:05	10
16/10/2014	SG524	15:45	20:25	10
16/10/2014	SG804	19:45	22:30	10
17/10/2014	SG873	07:55	10:45	10
17/10/2014	SG817	10:15 	13:05	10
17/10/2014	SG524	15:45	20:25	10
17/10/2014	SG804	19:45	22:30	10
18/10/2014	SG873	07:55	10:45	10
18/10/2014	SG817	10:15 	13:05	10
18/10/2014	SG524	15:45	20:25	10
18/10/2014	SG804	19:45	22:30	10
19/10/2014	SG873	07:55	10:45	10
19/10/2014	SG817	10:15 	13:05	10
19/10/2014	SG524	15:45	20:25	10
19/10/2014	SG804	19:45	22:30	10
20/10/2014	SG873	07:55	10:45	10
20/10/2014	SG817	10:15 	13:05	10
20/10/2014	SG524	15:45	20:25	10
20/10/2014	SG804	19:45	22:30	10
21/10/2014	SG873	07:55	10:45	10
21/10/2014	SG817	10:15 	13:05	10
21/10/2014	SG524	15:45	20:25	10
21/10/2014	SG804	19:45	22:30	10
22/10/2014	SG873	07:55	10:45	10
22/10/2014	SG817	10:15 	13:05	10
22/10/2014	SG524	15:45	20:25	10
22/10/2014	SG804	19:45	22:30	10
23/10/2014	SG873	07:55	10:45	10
23/10/2014	SG817	10:15 	13:05	10
23/10/2014	SG524	15:45	20:25	10
23/10/2014	SG804	19:45	22:30	10
24/10/2014	SG873	07:55	10:45	10
24/10/2014	SG817	10:15 	13:05	10
24/10/2014	SG524	15:45	20:25	10
24/10/2014	SG804	19:45	22:30	10
25/10/2014	SG873	07:55	10:45	10
25/10/2014	SG817	10:15 	13:05	10
25/10/2014	SG524	15:45	20:25	10
25/10/2014	SG804	19:45	22:30	10
